CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,0.33986928,0.40481928,0.25714286,0.05555556,0.27777778,1.0,0.00011977,0.17647059,1.44444444
2,0.4025974,0.48,0.40192926,0.22727273,0.31818182,1.0,0.00034035,0.19047619,0.744
3,0.26780627,0.40501792,0.21008403,0.03703704,0.33333333,1.0,0.00011096,0.15384615,1.88
4,0.43589744,0.51515152,0.2688172,0.15384615,0.23076923,1.0,0.00011513,0.25,1.36
5,0.25546218,0.32940109,0.25307125,0.08571429,0.25714286,1.0,0.00017642,0.11764706,1.47572816
6,0.28571429,0.26884422,0.21355932,0.06896552,0.31034483,1.0,0.00013019,0.14285714,1.84126984
7,0.24324324,0.31797235,0.18764846,0.0,0.28947368,1.0,0.00012465,0.13513514,2.16455696
8,0.20365854,0.33398725,0.17326733,0.0,0.34146341,1.0,0.00010239,0.1,2.38571429
9,0.17045455,0.21627188,0.02173913,0.0,0.18181818,1.0,7.27e-06,0.03125,22.5
10,0.36029412,0.40048544,0.14782609,0.0,0.23529412,1.0,5.988e-05,0.1875,2.88235294
11,0.20731707,0.39582188,0.16256158,0.0,0.48780488,1.0,9.654e-05,0.1,2.57575758
12,0.24615385,0.37829912,0.2760181,0.07692308,0.30769231,1.0,0.00014057,0.12,1.31147541
13,0.14754098,0.34195065,0.08629442,0.0,0.37704918,1.0,5.02e-05,0.08333333,5.29411765
14,0.6,0.57142857,0.64,0.5,0.0,1.0,0.00031917,0.4,0.28125
15,0.33538462,0.41217799,0.32716049,0.07692308,0.30769231,1.0,0.00024427,0.2,1.02830189
16,0.37,0.4539057,0.19565217,0.0,0.28,1.0,0.00012941,0.20833333,2.05555556
17,0.47619048,0.528,0.25925926,0.06666667,0.4,1.0,0.00013971,0.28571429,1.42857143
18,0.28787879,0.39344262,0.34482759,0.08333333,0.16666667,1.0,9.978e-05,0.18181818,0.95
19,0.37944664,0.43075356,0.26436782,0.08695652,0.39130435,1.0,0.00017972,0.18181818,1.39130435
20,0.86666667,0.81818182,0.33333333,0.16666667,0.0,1.0,0.00012966,0.8,1.0
21,0.1877551,0.28863636,0.09980431,0.02,0.32,1.0,6.12e-05,0.10204082,4.50980392
22,0.27651515,0.32758621,0.07886435,0.0,0.24242424,1.0,4.541e-05,0.15625,5.84
23,0.22857143,0.43346008,0.10280374,0.0,0.38888889,1.0,5.496e-05,0.11428571,4.36363636
24,0.40522876,0.46296296,0.19480519,0.05555556,0.44444444,1.0,9.981e-05,0.23529412,2.06666667
25,0.3,0.38472033,0.12621359,0.0,0.52,1.0,6.231e-05,0.16666667,3.46153846
26,0.35177866,0.34177215,0.1563981,0.0,0.34782609,1.0,8.595e-05,0.18181818,2.6969697
27,0.35714286,0.15789474,0.39393939,0.125,0.0,0.375,9.726e-05,0.14285714,0.76923077
28,0.29,0.38665132,0.16746411,0.04,0.36,1.0,8.388e-05,0.16666667,2.48571429
29,0.61818182,0.645,0.31313131,0.18181818,0.45454545,1.0,0.0001687,0.4,1.09677419
30,0.32333333,0.34680451,0.32871972,0.16,0.32,1.0,0.00022767,0.16666667,1.02105263
31,0.26916221,0.28264209,0.13714286,0.0,0.26470588,1.0,8.463e-05,0.15151515,3.14583333
32,0.43382353,0.53424658,0.28915663,0.11764706,0.52941176,1.0,0.00016908,0.1875,1.22916667
33,0.36363636,0.38095238,0.39130435,0.22727273,0.36363636,1.0,0.00029406,0.19047619,0.77777778
34,0.18,0.32941176,0.136,0.0,0.24,0.92,4.074e-05,0.08333333,3.17647059
35,0.47435897,0.53333333,0.24489796,0.0,0.30769231,1.0,0.00011053,0.25,1.54166667
36,0.41911765,0.47142857,0.19148936,0.05882353,0.29411765,1.0,9.511e-05,0.25,2.11111111
37,0.35968379,0.48766816,0.12077295,0.04347826,0.43478261,1.0,6.511e-05,0.13636364,3.64
38,0.32307692,0.29123468,0.25795053,0.11538462,0.34615385,0.92307692,0.00016823,0.12,1.43835616
39,0.4952381,0.53333333,0.25714286,0.2,0.6,1.0,0.0001437,0.28571429,1.44444444
40,0.1807611,0.37812128,0.13417722,0.0,0.54545455,1.0,7.225e-05,0.09302326,3.22641509
41,0.41520468,0.5367893,0.21546961,0.05263158,0.57894737,1.0,0.00012293,0.27777778,1.82051282
42,0.4,0.45,0.30769231,0.2,0.2,1.0,9.577e-05,0.22222222,1.125
43,0.41666667,0.44680851,0.3877551,0.11111111,0.11111111,1.0,0.00012636,0.25,0.78947368
44,0.71428571,0.67924528,0.4,0.28571429,0.14285714,1.0,0.00017099,0.5,0.75
45,0.83333333,0.75,0.47368421,0.25,0.0,1.0,0.00013463,0.66666667,0.55555556
