CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,0.47953216,0.57212714,0.5879397,0.15789474,1.0,1.0,0.00247255,0.27777778,0.35042735
2,0.7,0.6,0.57575758,0.2,1.0,1.0,0.00076076,0.5,0.36842105
3,0.16205534,0.34693878,0.43055556,0.26086957,1.0,0.82608696,0.00054162,0.04545455,0.66129032
4,0.57142857,0.51428571,0.4893617,0.14285714,1.0,1.0,0.00065806,0.33333333,0.52173913
5,1.0,1.0,0.625,0.33333333,1.0,1.0,0.00066707,1.0,0.3
6,0.09090909,0,0.0,0.0,0.18181818,0.0,0.0,0.04761905,21.0
7,1.0,1.0,0.625,0.33333333,1.0,1.0,0.00066707,1.0,0.3
8,0.5,0.375,0.56521739,0.4,0.6,0.6,0.00052052,0.25,0.38461538
9,0.18181818,0,0.0,0.0,0.09090909,0.0,0.0,0.1,10.0
10,1.0,1.0,0.6,0.33333333,1.0,1.0,0.00060036,1.0,0.33333333
11,1.0,1.0,0.625,0.33333333,1.0,1.0,0.00066707,1.0,0.3
12,0.33333333,0.33333333,0.48148148,0.28571429,0.71428571,0.42857143,0.00037195,0.16666667,0.53846154
13,0.83333333,0.75,0.44444444,0.25,1.0,1.0,0.00040032,0.66666667,0.625
14,0.16666667,0,0.3125,0.08333333,0.25,0.0,0.00016707,0.09090909,1.1
15,1.0,1.0,0.53846154,0.33333333,1.0,1.0,0.00046695,1.0,0.42857143
16,0.3974359,0.31578947,0.34042553,0.07692308,1.0,0.84615385,0.00049359,0.25,0.96875
17,0.83333333,0.75,0.375,0.25,1.0,1.0,0.00030024,0.66666667,0.83333333
18,0.32679739,0.39692308,0.08256881,0.0,1.0,1.0,0.00010036,0.17647059,5.55555556
19,0.66666667,0.64285714,0.31034483,0.16666667,1.0,1.0,0.00030036,0.4,1.11111111
20,0.6,0.57142857,0.25,0.0,1.0,1.0,0.00020024,0.4,1.5
21,0.11764706,0,0.05882353,0.0,0.29411765,0.0,2.361e-05,0.0625,8.0
22,0.25,0,0.0,0.0,0.125,0.0,0.0,0.14285714,7.0
23,0.47222222,0.46153846,0.12820513,0.0,1.0,1.0,0.00011131,0.25,3.4
24,0.6,0.33333333,0.4,0.2,1.0,0.6,0.00032032,0.5,0.75
25,0.2,0,0.55,0.1,0.3,0.0,0.00044088,0.11111111,0.40909091
26,0.83333333,0.75,0.52380952,0.25,1.0,1.0,0.00055044,0.66666667,0.45454545
27,0.2,0,0.14285714,0.1,0.3,0.0,6.012e-05,0.11111111,3.0
28,0.8,0.78947368,0.23809524,0.2,1.0,1.0,0.0002002,0.5,1.6
29,0.45054945,0.5877551,0.11827957,0.0,1.0,1.0,0.00015758,0.23076923,3.72727273
30,0.83333333,0.75,0.44444444,0.25,1.0,1.0,0.00040032,0.66666667,0.625
31,0.28571429,0,0.0,0.0,0.14285714,0.0,0.0,0.16666667,6.0
32,0.28571429,0,0.0,0.0,0.14285714,0.0,0.0,0.16666667,6.0
33,0.53333333,0.4,0.30434783,0.0,1.0,0.83333333,0.00023361,0.4,1.14285714
34,0.66666667,0.6,0.38461538,0.25,0.75,0.75,0.0002502,0.33333333,0.8
35,0.25,0,0.0,0.0,0.25,0.0,0.0,0.14285714,7.0
36,0.22222222,0,0.0,0.0,0.22222222,0.0,0.0,0.125,8.0
